차 이름,연식,키로수,가격
현대 갤로퍼 2 9인승 V6 LPG,99/08식,"144,798km","1,350"
폭스바겐 ID.4 프로,22/10식,"20,640km","4,080"
렉서스 CT200h 1.8 컴팩트 트랜디 ZWA10,11/06식,"81,000km",950
렉서스 ES300h 7세대 럭셔리 플러스,23/03식,"19,600km","5,400"
기아 EV6 스탠다드 어스,23/10식(24년형),"16,000km","3,700"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드,20/07식,"26,000km","8,660"
테슬라 모델 Y 퍼포먼스,22/08식,"31,947km","6,790"
기아 스포티지 5세대 하이브리드 시그니처 그래비티 2WD,23/03식,"22,062km","2,850"
기아 디 올 뉴 니로 트렌디,22/03식,"17,000km","2,400"
테슬라 모델 3 퍼포먼스,20/03식,"70,100km","5,100"
쉐보레(GM대우) 뉴 다마스 5인승 코치 리빅,21/05식,"1,460km",850
테슬라 모델 3 롱 레인지,21/06식,"31,065km","4,800"
아우디 Q4 e-트론 40 프리미엄,22/10식,"15,764km","4,741"
인피니티 Q50 3.5 하이브리드 에센스,17/08식,"58,500km","1,550"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드 쿠페,22/02식,"5,086km","13,000"
쉐보레(GM대우) 볼트 EV EV 프리미어,18/06식,"194,582km","1,590"
테슬라 모델 X 퍼포먼스,20/09식,"57,856km","9,000"
현대 더 뉴 그랜저 IG 하이브리드 익스클루시브,21/10식(22년형),"30,015km",0
테슬라 모델 3 롱 레인지,22/03식,"41,300km","4,550"
기아 스포티지 5세대 하이브리드 노블레스 2WD,22/12식(23년형),"19,000km","3,290"
포르쉐 타이칸 4S,21/04식,"19,700km","12,500"
테슬라 모델 3 스탠다드 레인지 플러스,20/06식,"73,000km","3,550"
제네시스 GV60 퍼포먼스 AWD,22/10식,"46,592km","4,181"
현대 갤로퍼 2 9인승 V6 LPG,99/11식,"266,000km",550
테슬라 모델 X AWD,23/06식,"21,800km","9,900"
기아 더 뉴 레이 LPI 프레스티지,18/07식,"130,000km","1,140"
아우디 e-트론 55 콰트로,20/07식,"62,500km","5,470"
현대 그랜저 하이브리드 (GN7) 익스클루시브,23/07식,"11,500km","2,156"
벤츠 E-클래스 W213 E300e 익스클루시브,19/12식,"18,980km","4,248"
폭스바겐 ID.4 프로,22/10식,"34,960km","3,450"
렉서스 ES300h 7세대 럭셔리 플러스,22/11식(23년형),"15,600km","5,470"
BMW i8 쿠페,15/10식,"83,000km","99,990"
BMW i4 M50 프로,23/09식(24년형),"4,991km","6,600"
현대 아이오닉5 롱레인지 프레스티지,21/09식(22년형),"83,000km","1,506"
BMW 3시리즈 (G20) 330e M 스포츠,21/01식,"55,865km","3,900"
아우디 e-트론 55 콰트로 스포트백,22/10식,"16,000km","6,800"
BMW i8 로드스터,19/12식,"41,000km","14,500"
포르쉐 타이칸 베이스,23/03식,"5,800km","13,500"
인피니티 Q50 3.5 블루 스포츠 센서리,18/09식,"46,000km","2,400"
BMW i5 (G60) eDrive 40 M 스포츠,23/11식(24년형),"2,800km","8,100"
포르쉐 타이칸 4S,21/05식,"61,188km","10,560"
테슬라 모델 Y RWD,23/09식,"13,670km","5,050"
현대 쏘나타 (DN8) 2.0 LPG 스마트,21/10식(22년형),"58,000km","2,046"
기아 더 뉴 K7 LPI 3.0 택시형 럭셔리,14/10식(15년형),"296,000km",420
기아 그랜드 카니발 LPI GLX 기본형,09/04식,"148,000km",750
현대 아이오닉 하이브리드 1.6 플러그인 HEV Q,17/05식,"65,231km","1,700"
기아 K7 LPI VG270 프레스티지 프리미엄,11/01식,"162,000km",500
포르쉐 타이칸 터보,21/12식,"23,000km","17,000"
기아 쏘울 부스터 EV 노블레스,19/03식,"92,800km","2,180"
현대 LF 쏘나타 하이브리드 2.0 HEV 모던,15/01식,"209,387km",750
BMW i8 쿠페,15/06식,"91,000km","6,400"
BMW i8 로드스터,19/12식,"26,000km","15,000"
테슬라 모델 3 롱 레인지,20/12식,"24,400km","3,850"
기아 쏘렌토 4세대 HEV 1.6 2WD 노블레스,21/01식,"87,000km","3,345"
렉서스 뉴 ES300h 슈프림 XV60,13/09식,"160,049km","1,550"
BMW i8 쿠페,15/05식,"112,000km","5,890"
기아 스포티지 5세대 하이브리드 시그니처 4WD,23/07식,"9,500km","2,195"
아우디 Q4 e-트론 40 프리미엄 스포트백,23/11식,"7,700km","5,570"
미니 쿠퍼 일렉트릭 SE 일렉트릭 1세대,22/02식,"21,400km","2,664"
벤츠 EQS V297 EQS450+ AMG 라인,21/12식(22년형),"28,000km","9,143"
기아 K8 하이브리드 시그니처,22/10식(23년형),"31,000km","3,053"
기아 쏘렌토 4세대 HEV 1.6 4WD 그래비티,23/03식,"16,300km","5,100"
BMW 3시리즈 (G20) 320e M 스포츠,22/03식,"25,000km","4,100"
테슬라 모델 Y 롱 레인지,21/08식,"50,440km","5,180"
폴스타 폴스타 2 롱레인지 싱글모터,22/10식(23년형),"18,000km","3,250"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드,19/12식,"30,000km","9,200"
기아 K7 하이브리드 700h 프레스티지,14/10식(15년형),"145,000km","1,110"
르노코리아(삼성) 트위지 라이프(2인승),19/02식,"14,500km",200
BMW X5 (G05) xDrive 45e xLine,21/05식,"41,000km","6,480"
렉서스 RX450h 4세대 이그제큐티브,17/06식,"97,500km","4,200"
기아 K5 LPI 스마트,12/05식(13년형),"303,000km",319
테슬라 모델 Y 롱 레인지,22/12식,"23,395km","6,300"
BMW i5 (G60) eDrive 40 M 스포츠 프로,23/12식(24년형),"7,200km","7,944"
르노코리아(삼성) 조에 젠,20/09식(21년형),"34,300km","1,630"
기타 제조사 기타 기타 전기차,21/11식,"11,085km",490
현대 아이오닉5 롱레인지 프레스티지,21/12식(22년형),"70,001km","1,533"
현대 그랜저 하이브리드 (GN7) 익스클루시브,23/07식,"7,080km","2,852"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드,22/04식,"19,600km","11,200"
